address,type,x-text
6020ac,widechar,"(null)"
61a8cc,widechar,"num police peds in range screen : %d"
61a918,widechar,"num peds on screen : %d"
61a98c,widechar,"%d"
61a994,widechar,"%d / %d"
620180,widechar,"%s %c"
620194,widechar,"GTA2 V%d.%d"
620324,widechar,"%s (%s)"
62035c,widechar,"%s"
620364,widechar,"%s %s"
620370,widechar,"%c"
6203f0,widechar,"%2d:%02d"
62042c,widechar,"$%d"
620460,widechar,"MILESLOGO"
620474,widechar,"BINKLOGO"
620488,widechar,";  %s"
62051c,widechar,"WFUSDFCF"
62054c,widechar,"density:%d"
620564,widechar,"reverse_count : %d"
62058c,widechar,"accuracy_count : %d"
6205b4,widechar,"dummy_chars : %d"
6205d8,widechar,"cars:%d"
6205e8,widechar,"unit cars : %d"
620608,widechar,"mission cars : %d"
62062c,widechar,"prot. recycled cars : %d"
620660,widechar,"recycled cars : %d"
620688,widechar,"FF"
620b90,widechar,"Control %d"
620ba8,widechar,"RECORDING"
620bbc,widechar,"PLAYBACK"
621124,widechar,"LARGE"
621130,widechar,"Total   %3d"
621148,widechar,"Input   %3d"
621160,widechar,"Audio   %3d"
621178,widechar,"Render  %3d"
621190,widechar,"Draw    %3d"
6211a8,widechar,"Process %3d"
6211c0,widechar,"Mem Total %5d"
6211dc,widechar,"TextureSwaps:"
6211f8,widechar,"Cache Misses:"
621214,widechar,"TextureUsed: "
621230,widechar,"Polys Drawn:"
62124c,widechar,"Total Num Textures %d - %d bytes"
623e6c,widechar,"GBH Group"
623e80,widechar,"dummy prot"
623f4c,widechar,"surface_mode = %d sbw = %d tpa = %d"
623f94,widechar,"rear skid = %3.3f"
623fb8,widechar,"front skid = %3.3f"
623fe0,widechar,"mass = %3.3f"
62402c,widechar,"theta = %s"
624044,widechar,"%3.2f"
624050,widechar,"linvel = (%3.3f,%3.3f) angvelrad = %3.3f"
6240a4,widechar,"CM = (%3.3f,%3.3f) CP = (%3.3f,%3.3f,%3.3f)"
624114,widechar,"revs:%3.3f %c"
624130,widechar,"speed:%3.3f(%d)"
624180,widechar,"snap"
624194,widechar,"view camera: (%3.3f,%3.3f,%3.3f)"
6241d8,widechar,"aux game camera: (%3.3f,%3.3f,%3.3f)"
624224,widechar,"game camera: (%3.3f,%3.3f,%3.3f)"
6242c8,widechar,"BILLY"
6242e0,widechar,"BRIAN"
6242f8,widechar,"COLIN"
624340,widechar,"KEITH"
624358,widechar,"MARTIN"
624370,widechar,"STEPHEN"
624388,widechar,"WILLIAM"
6243b8,widechar,"BILLY"
6243d0,widechar,"BRIAN"
6243e8,widechar,"COLIN"
624430,widechar,"KEITH"
624448,widechar,"MARTIN"
624460,widechar,"STEPHEN"
624478,widechar,"WILLIAM"
624490,widechar,"ALISDAIR"
6244a8,widechar,"BILLY"
6244c0,widechar,"BRIAN"
6244d8,widechar,"COLIN"
624520,widechar,"KEITH"
624538,widechar,"MARTIN"
624550,widechar,"STEPHEN"
624568,widechar,"WILLIAM"
624580,widechar,"ALISDAIR"
624598,widechar,"BILLY"
6245b0,widechar,"BRIAN"
6245c8,widechar,"COLIN"
624610,widechar,"KEITH"
624628,widechar,"MARTIN"
624640,widechar,"STEPHEN"
624658,widechar,"WILLIAM"
624670,widechar,"ALISDAIR"
624688,widechar,"BILLY"
6246a0,widechar,"BRIAN"
6246b8,widechar,"COLIN"
624700,widechar,"KEITH"
624718,widechar,"MARTIN"
624730,widechar,"STEPHEN"
624748,widechar,"WILLIAM"
624760,widechar,"ALISDAIR"
624778,widechar,"BILLY"
624790,widechar,"BRIAN"
6247a8,widechar,"COLIN"
6247f0,widechar,"KEITH"
624808,widechar,"MARTIN"
624820,widechar,"STEPHEN"
624838,widechar,"WILLIAM"
624850,widechar,"ALISDAIR"
624868,widechar,"BILLY"
624880,widechar,"BRIAN"
624898,widechar,"COLIN"
6248e0,widechar,"KEITH"
6248f8,widechar,"MARTIN"
624910,widechar,"STEPHEN"
624928,widechar,"WILLIAM"
624940,widechar,"ALISDAIR"
624958,widechar,"BILLY"
624970,widechar,"BRIAN"
624988,widechar,"COLIN"
6249d0,widechar,"KEITH"
6249e8,widechar,"MARTIN"
624a00,widechar,"STEPHEN"
624a18,widechar,"WILLIAM"
624a30,widechar,"ALISDAIR"
624a48,widechar,"BILLY"
624a60,widechar,"BRIAN"
624a78,widechar,"COLIN"
624ac0,widechar,"KEITH"
624ad8,widechar,"MARTIN"
624af0,widechar,"STEPHEN"
624b08,widechar,"WILLIAM"
624b20,widechar,"ALISDAIR"
624b38,widechar,"BILLY"
624b50,widechar,"BRIAN"
624b68,widechar,"COLIN"
624bb0,widechar,"KEITH"
624bc8,widechar,"MARTIN"
624be0,widechar,"STEPHEN"
624bf8,widechar,"WILLIAM"
624c10,widechar,"ALISDAIR"
624c28,widechar,"BILLY"
624c40,widechar,"BRIAN"
624c58,widechar,"COLIN"
624ca0,widechar,"KEITH"
624cb8,widechar,"MARTIN"
624cd0,widechar,"STEPHEN"
624ce8,widechar,"WILLIAM"
624d00,widechar,"ALISDAIR"
624d18,widechar,"BILLY"
624d30,widechar,"BRIAN"
624d48,widechar,"COLIN"
624d90,widechar,"KEITH"
624da8,widechar,"MARTIN"
624dc0,widechar,"STEPHEN"
624dd8,widechar,"WILLIAM"
624df0,widechar,"ALISDAIR"
624e08,widechar,"BILLY"
624e20,widechar,"BRIAN"
624e38,widechar,"COLIN"
624e80,widechar,"KEITH"
624e98,widechar,"MARTIN"
624eb0,widechar,"STEPHEN"
624ec8,widechar,"WILLIAM"
624efc,widechar,"JACKSON"
624f0c,widechar,"IMOGEN"
624f1c,widechar,"HECTOR"
624f2c,widechar,"GRAEME"
624f3c,widechar,"FRANK"
624f48,widechar,"ERIC"
624f54,widechar,"DAVE"
624f60,widechar,"COLIN"
624f6c,widechar,"BRIAN"
624f78,widechar,"ALAN"
624f84,widechar,"MUCHCASH"
626264,widechar,"%d:%d"
6267b4,widechar," "
626810,widechar,"%d/%d fps"
62684c,widechar,"peds crossing now!"
626874,widechar,"phase: %d"
626888,widechar,"timer: %d"
6268a0,widechar,"%s at (%3.1f, %3.1f, %3.1f) %s"
6268e0,widechar,"ped"
6268e8,widechar,"%d%%"
626944,widechar,"%s:%s "
626954,widechar,"%s:%s_"
626964,widechar,"(%s)%s"
62697c,widechar,"%s %s %s"
6269b8,widechar,"K.F."